
Jaguar XF , 4954,1880,1457
New Jaguar XF Sportbrake 2017 , 4955,1880,1496
Jaguar XJ , 5130,1899,1460
Jaguar XJ LWB , 5255,1899,1460
New Jaguar E-PACE 2018 , 4411,1900,1649
Jaguar F-PACE , 4746,1936,1652

Jeep Renegade , 4255,1805,1697
New Jeep Compass 2017 , 4395,1875,1640
Jeep Cherokee , 4623,1859,1669
Jeep Wrangler , 4223,1873,1825
Jeep Wrangler unlimited , 4751,1877,1825
Jeep Grand Cherokee , 4828,1943,1761

New Kia Picanto 2017 , 3595,1595,1485
New Kia Rio 2017 , 4065,1725,1450
Kia pro_cee'd , 4310,1780,1430
Kia cee'd , 4310,1780,1470
Kia cee'd Sportswagon , 4505,1780,1485
Kia Venga , 4075,1765,1600
Kia Soul , 4140,1800,1593
New Kia Niro 2017 , 4355,1805,1545
Kia Sportage , 4480,1855,1645
New Kia Carens 2017 , 4525,1805,1610
Kia Sorento , 4780,1890,1685
Kia Optima , 4855,1860,1465
Kia Optima Sportswagon , 4855,1860,1470

Lancia Ypsilon , 3837,1676,1518

Land Rover Discovery Sport , 4599,1920,1724
New Land Rover Discovery 2017 , 4970,1990,1888
Land Rover Defender 90 SW , 4040,1790,2000
Land Rover Defender 110 SW , 4785,1790,2035
Range Rover Evoque , 4370,1900,1635
Range Rover Evoque Convertible , 4370,1900,1609
New Range Rover Velar 2017 , 4803,1950,1665
Range Rover Sport , 4850,1990,1780
Range Rover , 4999,1990,1835
Range Rover LWB , 5199,1990,1840

Lexus CT , 4350,1765,1455
New Lexus IS 2017 , 4680,1810,1430
Lexus RC , 4695,1840,1395
Lexus NX , 4630,1845,1645
Lexus RX , 4890,1895,1685
Lexus GS , 4880,1840,1455
New Lexus LC 2017 , 4770,1920,1345
Lexus LS , 5090,1875,1480
Lexus LS L , 5210,1875,1480

Maserati Ghibli , 4971,1945,1461
Maserati Levante , 5003,1968,1679
Maserati Quattroporte , 5264,1948,1481
Maserati GranTurismo , 4881,1915,1353
Maserati GranCabrio , 4881,1915,1353

Mazda 2 , 4060,1695,1495
New Mazda 3 2017 , 4470,1795,1465
New Mazda 3 Fastback 2017 , 4580,1795,1450
New Mazda 6 2017 , 4870,1840,1450
New Mazda 6 Tourer 2017 , 4805,1840,1480
Mazda CX-3 , 4270,1765,1535
New Mazda CX-5 2017 , 4550,1840,1675
Mazda MX-5 , 3915,1735,1230

Mercedes-Benz A-Class , 4299,1780,1433
Mercedes-Benz B-Class Sports Tourer , 4393,1786,1557
Mercedes-Benz C-Class , 4686,1810,1442
Mercedes-Benz C-Class Estate , 4702,1810,1457
Mercedes-Benz C-Class Coupé , 4686,1810,1406
Mercedes-Benz E-Class , 4923,1852,1468
Mercedes-Benz E-Class Estate , 4933,1852,1475
New Mercedes-Benz E-Class All-Terrain 2017 , 4947,1861,1497
New Mercedes-Benz E-Class Coupé 2017 , 4826,1860,1430
New Mercedes-Benz S-Class 2017 , 5141,1905,1498
New Mercedes-Benz S-Class Long 2017 , 5271,1905,1496
Mercedes-Benz S-Class Coupé , 5027,1899,1411
Mercedes-Benz CLA Coupé , 4640,1777,1432
Mercedes-Benz CLA Shooting Brake , 4640,1777,1435
Mercedes-Benz CLS Coupé , 4937,1881,1418
Mercedes-Benz CLS Shooting Brake , 4953,1881,1419
New Mercedes-Benz GLA 2017 , 4424,1804,1494
Mercedes-Benz GLC SUV , 4656,1890,1639
Mercedes-Benz GLC Coupé , 4732,1890,1602
Mercedes-Benz GLE SUV , 4819,1935,1796
Mercedes-Benz GLE Coupé , 4900,2003,1731
Mercedes-Benz GLS , 5130,1934,1850
Mercedes-Benz G-Class , 4662,1760,1951
Mercedes-Benz SLC , 4133,1810,1301
Mercedes-Benz SL , 4631,1877,1315
New Mercedes-AMG GT 2017 , 4544,1939,1287
Mercedes-Benz Citan Tourer , 4321,1829,1809
Mercedes-Benz Citan Tourer Extralong , 4705,1829,1839
Mercedes-Benz V-Class Compact , 4895,1928,1880
Mercedes-Benz V-Class Long , 5140,1928,1880
Mercedes-Benz V-Class Extralong , 5370,1928,1880

MINI 3-door , 3821,1727,1414
MINI 5-door  , 3982,1727,1425
MINI Cabrio , 3821,1727,1415
MINI Clubman , 4253,1800,1441
New MINI Countryman 2017 , 4299,1822,1557

Mitsubishi i-MiEV , 3475,1475,1610
Mitsubishi Space Star , 3795,1665,1510
New Mitsubishi ASX 2017 , 4355,1770,1640
Mitsubishi Outlander , 4695,1810,1680
Mitsubishi Pajero 3-door , 4385,1875,1880
Mitsubishi Pajero 5-door , 4900,1875,1900
Mitsubishi L200 , 5205,1785,1775

New Nissan Micra 2017 , 3995,1743,1452
Nissan Note , 4100,1695,1530
Nissan Juke , 4135,1765,1565
Nissan Leaf , 4445,1770,1550
Nissan Pulsar , 4385,1768,1520
New Nissan Qashqai 2017 , 4394,1806,1595
Nissan NV200 Combi , 4400,1695,1860
Nissan X-Trail , 4643,1820,1695
Nissan 370Z , 4250,1845,1315
Nissan GT-R , 4710,1895,1370
Nissan NP300 Navara , 5330,1850,1840

Opel Karl / Viva , 3675,1604,1476
Opel ADAM , 3698,1720,1484
Opel Corsa 3p , 4021,1736,1479
Opel Corsa 5p , 4021,1746,1481
Opel Astra , 4370,1809,1485
Opel Astra Sports Tourer , 4702,1809,1499
Opel Astra 4p , 4658,1814,1500
Opel Astra GTC , 4466,1840,1482
New Opel Crossland X 2017 , 4212,1765,1605
Opel Mokka X , 4275,1781,1658
Opel Cascada , 4696,1839,1443
New Opel Insignia Grand Sport 2017 , 4897,1863,1455
New Opel Insignia Sports Tourer 2017 , 4986,1863,1500
Opel Zafira , 4666,1928,1660
Opel Vivaro Combi , 4999,1956,1971
Opel Vivaro Combi Long , 5399,1956,1971

Peugeot iOn , 3475,1475,1608
